lat, lng
37.673976, 127.075397
37.674066, 127.075359
37.674159, 127.075341
37.674264, 127.075324
37.674346, 127.075255
37.674435, 127.075228
37.674526, 127.075206
37.674616, 127.075177
37.674695, 127.075123
37.674776, 127.075071
37.674879, 127.075084
37.674963, 127.075126
37.674900, 127.075216
37.674849, 127.075313
37.674828, 127.075434
37.674783, 127.075546
37.674715, 127.075648
37.674660, 127.075739
37.674606, 127.075855
37.674591, 127.075997
37.674589, 127.076113
37.674630, 127.076214
37.674679, 127.076311
37.674714, 127.076416
37.674759, 127.076517
37.674777, 127.076629
37.674775, 127.076743
37.674818, 127.076845
37.674875, 127.076943
37.674958, 127.077007
37.675008, 127.077103
37.675074, 127.077185
37.675133, 127.077279
37.675118, 127.077395
37.675171, 127.077497
37.675235, 127.077586
37.675275, 127.077690
37.675335, 127.077781
37.675433, 127.077811
37.675506, 127.077883
37.675593, 127.077926
37.675688, 127.077896
37.675780, 127.077879
37.675876, 127.077896
37.675969, 127.077902
37.676061, 127.077927
37.676160, 127.077916
37.676259, 127.077895
37.676348, 127.077944
37.676436, 127.077986
37.676526, 127.077972
37.676618, 127.077961
37.676714, 127.077962
37.676815, 127.077988
37.676907, 127.077996
37.676995, 127.078022
37.677084, 127.078072
37.677177, 127.078050
37.677278, 127.078031
37.677367, 127.078051
37.677459, 127.078081
37.677557, 127.078080
37.677656, 127.078087
37.677753, 127.078034
37.677852, 127.077989
37.677945, 127.077975
37.678008, 127.077892
37.678090, 127.077941
37.678164, 127.078012
37.678250, 127.078074
37.678327, 127.078144
37.678388, 127.078242
37.678467, 127.078328
37.678549, 127.078381
37.678653, 127.078378
37.678741, 127.078405
37.678836, 127.078437
37.678915, 127.078496
37.679006, 127.078545
37.679043, 127.078658
37.679095, 127.078764
37.679181, 127.078801
37.679260, 127.078856
37.679336, 127.078924
37.679400, 127.079005
37.679491, 127.079052
37.679590, 127.079070
37.679680, 127.079102
37.679774, 127.079125
37.679865, 127.079166
37.679950, 127.079230
37.680032, 127.079282
37.680122, 127.079304
37.680222, 127.079345
37.680134, 127.079399
37.680087, 127.079504
37.680030, 127.079617
37.679979, 127.079714
37.679937, 127.079816
37.679904, 127.079928
37.679871, 127.080036
37.679884, 127.080161
37.679889, 127.080287
37.679962, 127.080358
37.680012, 127.080459
37.680018, 127.080575
37.680044, 127.080691
37.680071, 127.080801
37.680083, 127.080934
37.680173, 127.080970
37.680214, 127.081083
37.680236, 127.081205
37.680307, 127.081277
37.680388, 127.081343
37.680462, 127.081426
37.680469, 127.081540
37.680424, 127.081638
37.680340, 127.081689
37.680240, 127.081731
37.680149, 127.081730
37.680053, 127.081715
37.679963, 127.081667
37.679871, 127.081670
37.679780, 127.081722
37.679703, 127.081783
37.679625, 127.081846
37.679538, 127.081904
37.679455, 127.081962
37.679363, 127.081964
37.679266, 127.081975
37.679170, 127.081967
37.679065, 127.081933
37.678962, 127.081921
37.678866, 127.081905
37.678800, 127.081995
37.678777, 127.082110
37.678764, 127.082235
37.678787, 127.082367
37.678755, 127.082489
37.678786, 127.082597
37.678775, 127.082720
37.678840, 127.082802
37.678910, 127.082889
37.678967, 127.082978
37.678927, 127.083089
37.678923, 127.083212
37.678901, 127.083323
37.678858, 127.083434
37.678868, 127.083551
37.678897, 127.083663
37.678933, 127.083773
37.678932, 127.083887
37.678840, 127.083928
37.678742, 127.083936
37.678661, 127.083997
37.678575, 127.084057
37.678504, 127.084148
37.678451, 127.084252
37.678401, 127.084346
37.678360, 127.084459
37.678404, 127.084558
37.678481, 127.084629
37.678516, 127.084734
37.678543, 127.084843
37.678546, 127.084965
37.678566, 127.085076
37.678579, 127.085193
37.678554, 127.085313
37.678497, 127.085401
37.678429, 127.085482
37.678415, 127.085601
37.678376, 127.085718
37.678373, 127.085843
37.678373, 127.085958
37.678388, 127.086080
37.678437, 127.086182
37.678492, 127.086292
37.678529, 127.086417
37.678590, 127.086506
37.678677, 127.086543
37.678767, 127.086535
37.678856, 127.086555
37.678946, 127.086589
37.679023, 127.086670
37.679082, 127.086760
37.679120, 127.086873
37.679128, 127.086989
37.679117, 127.087105
37.679082, 127.087236
37.679085, 127.087244
37.679088, 127.087263
37.679077, 127.087392
37.679084, 127.087518
37.679099, 127.087656
37.679125, 127.087794
37.679207, 127.087843
37.679287, 127.087897
37.679382, 127.087920
37.679468, 127.087974
37.679530, 127.088066
37.679525, 127.088180
37.679487, 127.088299
37.679532, 127.088399
37.679559, 127.088518
37.679545, 127.088634
37.679532, 127.088758
37.679499, 127.088867
37.679462, 127.088981
37.679441, 127.089098
37.679396, 127.089201
37.679304, 127.089177
37.679233, 127.089103
37.679154, 127.089028
37.679072, 127.088965
37.678984, 127.088916
37.678905, 127.088847
37.678838, 127.088770
37.678759, 127.088699
37.678667, 127.088657
37.678571, 127.088631
37.678485, 127.088578
37.678385, 127.088585
37.678296, 127.088562
37.678209, 127.088509
37.678122, 127.088445
37.678034, 127.088381
37.677957, 127.088307
37.677874, 127.088236
37.677806, 127.088154
37.677727, 127.088075
37.677643, 127.088010
37.677555, 127.087962
37.677471, 127.087891
37.677403, 127.087806
37.677340, 127.087715
37.677261, 127.087647
37.677201, 127.087559
37.677133, 127.087461
37.677052, 127.087392
37.676955, 127.087359
37.676851, 127.087361
37.676759, 127.087352
37.676657, 127.087346
37.676607, 127.087441
37.676652, 127.087558
37.676571, 127.087617
37.676569, 127.087744
37.676649, 127.087802
37.676715, 127.087891
37.676742, 127.088016
37.676774, 127.088138
37.676800, 127.088260
37.676825, 127.088380
37.676874, 127.088497
37.676953, 127.088584
37.677065, 127.088586
37.677173, 127.088578
37.677258, 127.088629
37.677344, 127.088687
37.677390, 127.088792
37.677425, 127.088911
37.677473, 127.089020
37.677459, 127.089158
37.677534, 127.089235
37.677596, 127.089334
37.677647, 127.089455
37.677721, 127.089527
37.677818, 127.089563
37.677895, 127.089635
37.677948, 127.089736
37.678038, 127.089796
37.678069, 127.089922
37.678058, 127.090039
37.678054, 127.090168
37.678030, 127.090281
37.678011, 127.090399
37.677987, 127.090520
37.678026, 127.090626
37.678083, 127.090714
37.678099, 127.090829
37.678114, 127.090947
37.678118, 127.091067
37.678153, 127.091181
37.678230, 127.091262
37.678277, 127.091363
37.678253, 127.091491
37.678211, 127.091594
37.678172, 127.091712
37.678140, 127.091820
37.678085, 127.091929
37.678028, 127.092027
37.677939, 127.092061
37.677846, 127.092075
37.677746, 127.092098
37.677693, 127.092194
37.677632, 127.092281
37.677555, 127.092349
37.677468, 127.092407
37.677372, 127.092467
37.677286, 127.092533
37.677200, 127.092582
37.677130, 127.092508
37.677086, 127.092406
37.677034, 127.092295
37.676975, 127.092178
37.676920, 127.092078
37.676829, 127.092073
37.676773, 127.092166
37.676713, 127.092272
37.676621, 127.092268
37.676570, 127.092165
37.676516, 127.092064
37.676442, 127.091990
37.676379, 127.091895
37.676286, 127.091898
37.676193, 127.091861
37.676122, 127.091772
37.676040, 127.091709
37.675944, 127.091720
37.675850, 127.091708
37.675757, 127.091749
37.675660, 127.091726
37.675602, 127.091636
37.675512, 127.091596
37.675422, 127.091633
37.675334, 127.091665
37.675244, 127.091646
37.675204, 127.091543
37.675196, 127.091531
37.675188, 127.091521
37.675091, 127.091495
37.674998, 127.091450
37.674934, 127.091367
37.674849, 127.091302
37.674805, 127.091194
37.674738, 127.091111
37.674675, 127.091015
37.674610, 127.090936
37.674618, 127.091076
37.674741, 127.091143
37.674676, 127.091223
37.674588, 127.091253
37.674598, 127.091138
37.674508, 127.091144
37.674542, 127.091035
37.674561, 127.090920
37.674547, 127.090794
37.674572, 127.090672
37.674585, 127.090555
37.674562, 127.090444
37.674525, 127.090335
37.674487, 127.090214
37.674447, 127.090083
37.674384, 127.089970
37.674345, 127.089866
37.674340, 127.089736
37.674355, 127.089622
37.674329, 127.089513
37.674294, 127.089408
37.674316, 127.089284
37.674326, 127.089160
37.674333, 127.089025
37.674353, 127.088913
37.674346, 127.088792
37.674278, 127.088708
37.674230, 127.088600
37.674184, 127.088500
37.674133, 127.088405
37.674095, 127.088295
37.674017, 127.088226
37.673925, 127.088173
37.673845, 127.088095
37.673742, 127.088067
37.673653, 127.088007
37.673564, 127.088033
37.673465, 127.088024
37.673373, 127.088086
37.673282, 127.088140
37.673189, 127.088200
37.673098, 127.088276
37.673020, 127.088338
37.672930, 127.088355
37.672841, 127.088315
37.672746, 127.088291
37.672698, 127.088191
37.672643, 127.088086
37.672579, 127.088000
37.672511, 127.087915
37.672463, 127.087818
37.672436, 127.087696
37.672356, 127.087768
37.672298, 127.087855
37.672231, 127.087946
37.672156, 127.088016
37.672085, 127.088090
37.672025, 127.088191
37.671946, 127.088267
37.671861, 127.088332
37.671772, 127.088359
37.671676, 127.088356
37.671589, 127.088407
37.671493, 127.088464
37.671399, 127.088536
37.671323, 127.088604
37.671315, 127.088480
37.671298, 127.088351
37.671226, 127.088278
37.671144, 127.088219
37.671081, 127.088137
37.671009, 127.088059
37.670948, 127.087964
37.670906, 127.087854
37.670855, 127.087755
37.670766, 127.087673
37.670691, 127.087595
37.670617, 127.087519
37.670535, 127.087436
37.670482, 127.087344
37.670421, 127.087246
37.670374, 127.087124
37.670334, 127.087020
37.670288, 127.086914
37.670230, 127.086820
37.670294, 127.086724
37.670288, 127.086608
37.670288, 127.086487
37.670245, 127.086379
37.670207, 127.086259
37.670158, 127.086144
37.670099, 127.086026
37.670047, 127.085906
37.670001, 127.085804
37.669940, 127.085712
37.669876, 127.085615
37.669833, 127.085514
37.669796, 127.085406
37.669797, 127.085286
37.669764, 127.085176
37.669750, 127.085053
37.669757, 127.084932
37.669761, 127.084814
37.669726, 127.084700
37.669688, 127.084577
37.669625, 127.084485
37.669548, 127.084404
37.669459, 127.084381
37.669367, 127.084333
37.669265, 127.084303
37.669167, 127.084307
37.669065, 127.084289
37.668986, 127.084207
37.668943, 127.084096
37.668887, 127.084006
37.668794, 127.083961
37.668713, 127.083903
37.668634, 127.083839
37.668538, 127.083796
37.668454, 127.083751
37.668358, 127.083696
37.668265, 127.083675
37.668175, 127.083685
37.668088, 127.083719
37.668033, 127.083628
37.667951, 127.083555
37.667846, 127.083523
37.667742, 127.083518
37.667658, 127.083468
37.667582, 127.083392
37.667518, 127.083311
37.667429, 127.083262
37.667343, 127.083325
37.667280, 127.083418
37.667206, 127.083488
37.667110, 127.083517
37.667027, 127.083560
37.666843, 127.083577
37.666762, 127.083511
37.666726, 127.083394
37.666719, 127.083281
37.666682, 127.083176
37.666639, 127.083063
37.666597, 127.082963
37.666539, 127.082873
37.666499, 127.082766
37.666567, 127.082675
37.666604, 127.082556
37.666654, 127.082457
37.666659, 127.082331
37.666661, 127.082213
37.666583, 127.082122
37.666509, 127.082045
37.666448, 127.081959
37.666377, 127.081879
37.666294, 127.081810
37.666203, 127.081736
37.666093, 127.081678
37.665996, 127.081689
37.665910, 127.081735
37.665826, 127.081798
37.665742, 127.081845
37.665652, 127.081871
37.665551, 127.081838
37.665448, 127.081828
37.665360, 127.081890
37.665275, 127.081951
37.665178, 127.081916
37.665081, 127.081876
37.664986, 127.081844
37.664906, 127.081787
37.664815, 127.081770
37.664721, 127.081796
37.664630, 127.081781
37.664529, 127.081728
37.664441, 127.081705
37.664354, 127.081659
37.664263, 127.081604
37.664165, 127.081595
37.664063, 127.081593
37.663960, 127.081590
37.663874, 127.081631
37.663779, 127.081676
37.663688, 127.081677
37.663597, 127.081725
37.663508, 127.081765
37.663406, 127.081756
37.663304, 127.081732
37.663214, 127.081704
37.663119, 127.081702
37.663018, 127.081713
37.662914, 127.081745
37.662802, 127.081757
37.662708, 127.081740
37.662608, 127.081741
37.662510, 127.081708
37.662407, 127.081663
37.662311, 127.081662
37.662214, 127.081641
37.662108, 127.081598
37.662022, 127.081633
37.661917, 127.081654
37.661812, 127.081679
37.661711, 127.081711
37.661633, 127.081806
37.661599, 127.081919
37.661567, 127.082032
37.661548, 127.082151
37.661529, 127.082266
37.661469, 127.082366
37.661371, 127.082363
37.661278, 127.082371
37.661203, 127.082449
37.661112, 127.082430
37.661030, 127.082379
37.660934, 127.082391
37.660856, 127.082455
37.660764, 127.082483
37.660680, 127.082544
37.660601, 127.082620
37.660541, 127.082719
37.660501, 127.082831
37.660431, 127.082904
37.660336, 127.082872
37.660245, 127.082876
37.660156, 127.082848
37.660047, 127.082858
37.659955, 127.082860
37.659861, 127.082830
37.659762, 127.082799
37.659670, 127.082741
37.659581, 127.082766
37.659496, 127.082717
37.659413, 127.082647
37.659343, 127.082570
37.659246, 127.082552
37.659149, 127.082551
37.659053, 127.082543
37.658964, 127.082568
37.658871, 127.082598
37.658781, 127.082617
37.658698, 127.082689
37.658601, 127.082693
37.658509, 127.082685
37.658410, 127.082723
37.658312, 127.082747
37.658216, 127.082761
37.658129, 127.082808
37.658037, 127.082845
37.657937, 127.082867
37.657842, 127.082873
37.657738, 127.082874
37.657651, 127.082904
37.657569, 127.082974
37.657489, 127.083048
37.657411, 127.083111
37.657329, 127.083170
37.657246, 127.083217
37.657156, 127.083187
37.657060, 127.083207
37.656966, 127.083192
37.656893, 127.083118
37.656794, 127.083097
37.656699, 127.083109
37.656627, 127.083180
37.656537, 127.083218
37.656440, 127.083249
37.656360, 127.083312
37.656266, 127.083362
37.656172, 127.083396
37.656075, 127.083433
37.656003, 127.083512
37.655934, 127.083590
37.655889, 127.083697
37.655873, 127.083818
37.655824, 127.083918
37.655744, 127.083977
37.655667, 127.084039
37.655582, 127.083995
37.655532, 127.083894
37.655459, 127.083810
37.655372, 127.083756
37.655304, 127.083679
37.655256, 127.083583
37.655181, 127.083507
37.655163, 127.083395
37.655137, 127.083285
37.655088, 127.083172
37.655023, 127.083073
37.654964, 127.082969
37.654872, 127.082952
37.654843, 127.083065
37.654837, 127.083182
37.654752, 127.083236
37.654663, 127.083263
37.654580, 127.083346
37.654491, 127.083394
37.654405, 127.083453
37.654315, 127.083485
37.654235, 127.083563
37.654138, 127.083601
37.654058, 127.083662
37.653984, 127.083739
37.653913, 127.083829
37.653895, 127.083950
37.653853, 127.084056
37.653771, 127.084132
37.653676, 127.084140
37.653623, 127.084242
37.653546, 127.084310
37.653456, 127.084374
37.653356, 127.084454
37.653276, 127.084520
37.653185, 127.084510
37.653083, 127.084536
37.652990, 127.084561
37.652889, 127.084591
37.652838, 127.084684
37.652766, 127.084771
37.652676, 127.084822
37.652585, 127.084858
37.652503, 127.084906
37.652418, 127.084962
37.652340, 127.085024
37.652259, 127.085077
37.652180, 127.085143
37.652097, 127.085203
37.652010, 127.085269
37.651943, 127.085368
37.651851, 127.085421
37.651746, 127.085445
37.651647, 127.085495
37.651591, 127.085591
37.651534, 127.085682
37.651515, 127.085807
37.651478, 127.085934
37.651442, 127.086052
37.651413, 127.086170
37.651417, 127.086291
37.651392, 127.086400
37.651331, 127.086492
37.651248, 127.086549
37.651140, 127.086627
37.651056, 127.086706
37.650975, 127.086762
37.650911, 127.086848
37.650867, 127.086954
37.650805, 127.087062
37.650737, 127.087157
37.650675, 127.087246
37.650597, 127.087323
37.650545, 127.087431
37.650527, 127.087544
37.650528, 127.087661
37.650485, 127.087775
