sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name,img
35,강북,노원구,2.84,120,초급,당현천길,"/img/othercourseimg/c35.jpg"
36,강북,노원구,3.96,90,초급,묵동천길,"/img/othercourseimg/c36.jpg"
37,강북,"노원구,도봉구",4.59,90,초급,초안산 나들길(초록숲길),"/img/othercourseimg/c37.jpg"
38,강북,노원구,1.12,60,초급,월계근린공원 산책길,"/img/othercourseimg/c38.jpg"
39,강북,노원구,7.39,270,고급,수락산 나들길(초록숲길),"/img/othercourseimg/c39.jpg"
40,강북,노원구,9.79,180,중급,불암산 나들길,"/img/othercourseimg/c40.jpg"
41,강북,"강북구,도봉구",7.94,120,초급,우이천길,"/img/othercourseimg/c41.jpg"
42,강북,"강북구,도봉구",0.21,20,초급,가오천길,"/img/othercourseimg/c42.jpg"
43,강북,"강북구,도봉구",0.67,30,초급,대동천길,"/img/othercourseimg/c43.jpg"
44,강북,"강북구,도봉구",2.78,60,초급,도봉천길,"/img/othercourseimg/c44.jpg"
45,강북,"강북구,도봉구",1.89,40,초급,방학천길,"/img/othercourseimg/c45.jpg"
46,강북,"강북구,도봉구",7.95,150,중급,우이령 나들길,"/img/othercourseimg/c46.jpg"
47,강북,"강북구,도봉구",2.06,60,중급,오패산 나들길,"/img/othercourseimg/c47.jpg"
48,강북,"강북구,도봉구",5.21,150,중급,쌍문역사 산책길(초록숲길),"/img/othercourseimg/c48.jpg"
